asin,rating,title,text,helpful,verified,date,year
NJ001,3,Average product,Nothing wrong with the Ninja Air but nothing special either. Does the job but so would cheaper options. The quality feels a bit plastic-y.,0,False,2020-11-03,2020
SN003,3,Disappointed slightly,Expected more from the Shark Apex based on reviews. It works but the battery life is not as advertised and the charger is slow.,2,True,2022-05-22,2022
SN003,2,Quality issues,The Shark Apex has good suction but the build quality is poor. The attachment clips broke within weeks and replacement parts are expensive.,0,True,2016-02-24,2016
SN004,3,Disappointed slightly,Expected more from the Shark Stratos based on reviews. It works but the battery life is not as advertised and the charger is slow.,1,False,2021-05-27,2021
NJ003,5,Game changer,The Ninja Professional is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,1,True,2016-09-17,2016
NJ002,4,Solid performer,"The Ninja Foodi is a reliable machine. Good suction power, easy to maintain. The instructions could be clearer but once you figure it out it works great.",0,True,2017-03-04,2017
SN002,4,Very happy with purchase,Happy with my Shark Robot. Does exactly what it promises. The cord is a bit short for my large living room but otherwise no complaints.,1,True,2020-11-26,2020
SN004,4,Good value,For the price the Shark Stratos delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,3,True,2021-06-11,2021
SN001,4,Solid performer,"The Shark Navigator is a reliable machine. Good suction power, easy to maintain. The instructions could be clearer but once you figure it out it works great.",0,True,2016-12-04,2016
SN004,4,Solid performer,"The Shark Stratos is a reliable machine. Good suction power, easy to maintain. The instructions could be clearer but once you figure it out it works great.",0,True,2021-06-24,2021
NJ004,2,Not worth the price,"For the amount I paid for this Ninja Creami, I expected much better. The motor is loud, it overheats, and the warranty process was a nightmare.",0,True,2017-03-24,2017
SN001,4,Works as described,"The Shark Navigator does what it says. Good suction on carpet, handles pet hair well. Minor complaint is that it's a bit loud but nothing terrible.",1,True,2014-04-19,2014
NJ004,5,Game changer,The Ninja Creami is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,12,True,2019-02-05,2019
NJ003,5,Love this thing,Got the Ninja Professional as a gift and now I vacuum every day. It's that satisfying to use. Filters are easy to clean and battery lasts a long time.,2,True,2017-11-24,2017
SN001,1,Terrible quality control,My Shark Navigator arrived with a cracked part and after 3 weeks the motor started burning smell. Returned immediately.,8,True,2020-01-19,2020
SN003,5,Game changer,The Shark Apex is outstanding. My floors have never been cleaner. The attachments are very useful and it's surprisingly lightweight.,0,True,2021-12-05,2021
NJ004,5,Perfect purchase,"The Ninja Creami is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",0,True,2017-05-07,2017
SN004,4,"Great product, minor issues",The Shark Stratos works really well overall. Suction is strong and it's easy to use. Docking a star only because the dustbin could be larger.,1,True,2016-12-19,2016
NJ003,4,Good value,For the price the Ninja Professional delivers solid performance. Not perfect but definitely gets the job done. Would recommend to friends and family.,0,True,2016-11-03,2016
SN004,5,Perfect purchase,"The Shark Stratos is exactly what I needed. Quiet enough to use while my baby sleeps, powerful enough to handle dog hair everywhere. Zero complaints.",0,True,2018-04-18,2018
SN001,4,Solid performer,"The Shark Navigator is a reliable machine. Good suction power, easy to maintain. The instructions could be clearer but once you figure it out it works great.",0,True,2014-09-29,2014
NJ003,2,Disappointed,The Ninja Professional started making a strange noise after 2 months. Build quality is not great. Would not buy again.,5,True,2018-02-13,2018
